Time,Date,NB Guess,SVM Guess,Tweet Text
14:56:47,2016-12-08,2,2,I am also hoping @AlaskaAir stands behind their employees and BANS the "rapper" #YoungThug from their airline after how he treated them.
14:57:00,2016-12-08,2,2,@carakinns @SouthwestAir there are a lot of people following this story. I'm hoping Cara comes out with the outcome she deserves.
14:57:05,2016-12-08,2,0,Very cool! https://t.co/YBMDJdErk2
14:57:15,2016-12-08,2,2,@JetBlue it's 2 months away....but your customer service department will be hearing from us very soon
14:57:16,2016-12-08,2,2,I wonder if this would happen with @Delta https://t.co/rPi517e3o5 #nastyUnitedAgent
14:57:16,2016-12-08,2,2,@lufthansa I'm losing 2.5k$ because I have to cancel flights for in-laws due to medical emergency w/o refund. Tx for being flexible LH! :(
14:57:20,2016-12-08,2,2,@SouthwestAir #SouthwestPassport because I want to take my beautiful wife somewhere tropical!
14:57:26,2016-12-08,2,0,@VirginAtlantic thanks for the quick reply, sorry just slightly frustrated after two years of saving miles and then being unable to book
14:57:31,2016-12-08,2,0,@AirlineGeeks @united cool
14:57:34,2016-12-08,2,2,@united longest form ever.  R u kidding?  I don't have time for this. Should have been automated process https://t.co/fl0OMccuZr
14:57:35,2016-12-08,2,2,@KLM 2PGBYX Can you confirm that I have a suitcase checked in as I don't want to have to pay at the airport
14:57:42,2016-12-08,2,2,@SouthwestAir you can't rebook me because your flights are all sold out. Throughout California.
14:57:42,2016-12-08,2,2,Wes has started tweeting companies I feel so proud https://t.co/5m0SAMeNR7
14:58:21,2016-12-08,2,2,Seriously @JetBlue I've been waiting over 24 hrs for you to fix your site and the sale is only for 12/12 flights?!
14:58:23,2016-12-08,2,2,.@VirginAmerica has better gate music than most frats
14:58:33,2016-12-08,0,0,@SamFeldtMusic @KLM haha wtf, zeer vreemd, ben best wel benieuwd waarom het er dan staat
14:58:37,2016-12-08,2,2,@SouthwestAir I've spent over an hour on the phone with you guys this morning. I think i understand, at least the story of "blame Mexico"
14:58:37,2016-12-08,2,2,So @AmericanAir left my bag in Charlotte, NC and I was supposed to get my bag @ 0830 this morning.... my bag is still not here! 😒
14:58:40,2016-12-08,2,0,@united Any update? It's been a few hours now. Thanks!
14:58:44,2016-12-08,2,2,@united BTW...  10min into flight, random people moved to front and took our seats.  Flight attendant didn't care.  Wtf?!?!
14:59:01,2016-12-08,2,2,@Allegiant thank you for your response. Now our flight is delayed 7 hours and it is not guaranteed that we will be able to fly home.
14:59:28,2016-12-08,2,2,In the spirit of Christmas @Delta gave us green wings as we head to NYC!! 🎄 #deicer #delta #motorcycleshows… https://t.co/H9NWvHCmYU
14:59:28,2016-12-08,2,2,I wonder would @JetBlue allow this type of behavior from their personal https://t.co/rPi517e3o5 #nastyUnitedAgent
14:59:35,2016-12-08,0,0,@AlaskaAir me too as always!
14:59:44,2016-12-08,2,0,$40 flights to Florida! Loving @JetBlue #12DaysofGiveaways https://t.co/8F0S4s0vPl
14:59:50,2016-12-08,2,0,#ThrowbackThursday @lufthansa I just love a lil bit of history. https://t.co/fLngNEmWVk
